STATEFP,COUNTYFP,GEOID,latitude,longitude,area_frac
31,039,31039,527,1053,0.30150026475929664
31,039,31039,528,1051,0.01096773783866778
31,039,31039,528,1052,0.13998077131823564
31,039,31039,528,1053,0.10864340275797485
31,039,31039,526,1051,0.0008661095149110152
31,039,31039,526,1053,0.009357633359185272
31,039,31039,526,1052,0.011276415859989213
31,039,31039,527,1051,0.030467681785239616
31,039,31039,527,1052,0.3869399828065
31,021,31021,527,1053,0.09887528062409191
31,021,31021,528,1053,0.006299214116397369
31,021,31021,526,1053,0.003188073280375314
31,021,31021,527,1055,0.2259367675435774
31,021,31021,526,1055,0.07326425681317542
31,021,31021,528,1054,0.041147991788284814
31,021,31021,527,1054,0.44778705102393895
31,021,31021,528,1055,0.007451497671946182
31,021,31021,526,1054,0.09604986713821251
31,179,31179,528,1051,0.31824965231942126
31,179,31179,528,1052,0.22534571649709126
31,179,31179,528,1050,0.15017853120572805
31,179,31179,529,1052,0.020334537271728112
31,179,31179,529,1050,0.09579441397446328
31,179,31179,529,1051,0.19009714873156805
31,167,31167,528,1051,0.17243335021756845
31,167,31167,526,1051,0.013208534811652385
31,167,31167,527,1051,0.4752785911271883
31,167,31167,528,1050,0.08861551030465997
31,167,31167,526,1050,0.006676030037829836
31,167,31167,527,1050,0.24378798350110095
31,173,31173,528,1052,0.10452940510994806
31,173,31173,528,1053,0.39439099933350436
31,173,31173,529,1053,0.05904671271108003
31,173,31173,529,1054,0.03874638810962986
31,173,31173,529,1052,0.00917294152790052
31,173,31173,528,1054,0.39411355320793723
31,037,31037,526,1051,0.5217177503921865
31,037,31037,526,1052,0.19609439426064107
31,037,31037,525,1050,0.002593321209847414
31,037,31037,526,1050,0.005378786091645008
31,037,31037,525,1052,0.045763808356448256
31,037,31037,525,1051,0.2284519396892317
31,053,31053,526,1053,0.39874328880350796
31,053,31053,526,1052,0.2492242335598754
31,053,31053,525,1054,0.09084213835358296
31,053,31053,526,1054,0.09011902998745536
31,053,31053,525,1053,0.11696296033849966
31,053,31053,525,1052,0.054108348957078646
53,069,53069,544,946,0.20526454300262556
53,069,53069,544,947,0.03467428418042116
53,069,53069,545,945,0.3305103351282732
53,069,53069,545,946,0.3773942879195224
53,069,53069,545,947,0.052156549769157706
41,007,41007,544,946,0.08582386147362298
41,007,41007,545,945,0.006977233181593032
41,007,41007,545,946,0.0022791755791556883
41,007,41007,543,945,0.17195252076087872
41,007,41007,543,944,0.16622815299798135
41,007,41007,543,946,0.09473545450313316
41,007,41007,543,943,0.040569447391536256
41,007,41007,544,943,0.039130346867730745
41,007,41007,544,944,0.18772027412529133
41,007,41007,544,945,0.19168504355630214
41,007,41007,545,944,0.0037507576491469944
41,007,41007,545,943,0.0091477319136276
41,009,41009,544,946,0.08076568259647408
41,009,41009,544,947,0.2032632316600829
41,009,41009,543,946,0.11698458062615226
41,009,41009,542,948,0.026604997952433294
41,009,41009,543,947,0.2701569354079773
41,009,41009,543,948,0.24337502521116627
41,009,41009,544,948,0.05884954654571372
53,015,53015,544,947,0.04944859522557386
53,015,53015,545,947,0.08421881206944214
53,015,53015,545,948,0.09755978510511938
53,015,53015,545,949,0.09757869651413524
53,015,53015,545,951,0.003526685515076782
53,015,53015,545,950,0.09689579579568189
53,015,53015,543,948,0.024815133187254895
53,015,53015,544,948,0.14290728491200486
53,015,53015,543,949,0.04107613304794311
53,015,53015,543,950,0.013531225457767903
53,015,53015,544,951,0.002632931659474603
53,015,53015,544,950,0.16829574026442323
53,015,53015,544,949,0.17751318124610213
53,049,53049,545,945,0.0847273263438366
53,049,53049,545,946,0.04423292821865021
53,049,53049,544,944,0.0034691737410880137
53,049,53049,545,944,0.16444252334567952
53,049,53049,545,943,0.0857699774019046
53,049,53049,546,946,0.09069025418495656
53,049,53049,547,946,0.014749306246965093
53,049,53049,546,945,0.1677244367512438
53,049,53049,546,944,0.1677244367512438
53,049,53049,546,943,0.09859357876274596
53,049,53049,547,943,0.020181359089943215
53,049,53049,547,945,0.029160701628255327
53,049,53049,547,944,0.028533997533487253
53,041,53041,545,946,0.016956506111901654
53,041,53041,545,947,0.038250586011964245
53,041,53041,545,954,0.01347143449767897
53,041,53041,545,952,0.03760719915454455
53,041,53041,545,953,0.037610197080129255
53,041,53041,546,954,0.030629123796246535
53,041,53041,546,952,0.08172729044191382
53,041,53041,546,953,0.08439776348632247
53,041,53041,547,953,0.011415386738377118
53,041,53041,547,954,0.002667081961323253
53,041,53041,547,952,0.0018423169976859311
53,041,53041,545,948,0.03801344649488152
53,041,53041,545,949,0.03800445515906009
53,041,53041,545,951,0.03813721779857145
53,041,53041,545,950,0.038329136925879206
53,041,53041,546,949,0.08439776348632247
53,041,53041,546,951,0.08402032728793579
53,041,53041,546,947,0.08439776348632247
53,041,53041,546,946,0.03876306188008995
53,041,53041,546,950,0.08439776348632247
53,041,53041,546,948,0.08439776348632247
53,041,53041,547,948,0.004686920514611977
53,041,53041,547,946,0.007088262088620562
53,041,53041,547,947,0.00838384669353586
53,041,53041,547,949,0.004450347656672192
53,041,53041,547,951,0.0015872454217453831
53,041,53041,547,950,0.00436979185501833
35,011,35011,499,1022,0.004426070491337861
35,011,35011,499,1023,0.006003001098329423
35,011,35011,495,1021,0.0007940077064519563
35,011,35011,495,1022,0.00165444351215016
35,011,35011,495,1023,0.0006953807992657226
35,011,35011,495,1020,8.632115659911058e-06
35,011,35011,496,1023,0.08373285230070623
35,011,35011,496,1020,0.04439555354868444
35,011,35011,496,1022,0.10551300423795805
35,011,35011,496,1024,0.015385050737718266
35,011,35011,496,1021,0.10551300423795805
35,011,35011,497,1020,0.05985768658084916
35,011,35011,497,1022,0.10551300423795805
35,011,35011,497,1021,0.10551300423795805
35,011,35011,497,1024,0.021542486150650755
35,011,35011,497,1023,0.10551300423795805
35,011,35011,498,1024,0.009065923731999256
35,011,35011,498,1022,0.08171898034646713
35,011,35011,498,1023,0.07394594762966716
35,011,35011,498,1020,0.025036981483281467
35,011,35011,498,1021,0.04417198057699069
35,019,35019,499,1022,0.07737729180366822
35,019,35019,499,1023,0.03462834617319726
35,019,35019,497,1020,0.021392359891734943
35,019,35019,498,1022,0.018213205817976467
35,019,35019,498,1020,0.061600609149898684
35,019,35019,498,1021,0.046953667614921424
35,019,35019,500,1020,0.06989920190931044
35,019,35019,500,1023,0.03480920534390205
35,019,35019,500,1019,0.06992465372716825
35,019,35019,500,1021,0.06987439053532328
35,019,35019,500,1018,0.01144914398181552
35,019,35019,500,1022,0.06980887829389584
35,019,35019,497,1019,0.049332048972346464
35,019,35019,497,1018,0.012414686955076876
35,019,35019,499,1018,0.013146246688761744
35,019,35019,499,1020,0.0807652405252141
35,019,35019,499,1021,0.0807652405252141
35,019,35019,499,1019,0.0807652405252141
35,019,35019,498,1018,0.016115101040146285
35,019,35019,498,1019,0.0807652405252141
35,037,35037,499,1023,0.04357502413217267
35,037,35037,498,1024,0.04913576571272233
35,037,35037,498,1023,0.025345688108494312
35,037,35037,502,1027,0.06767603784284004
35,037,35037,502,1026,0.041558436645560824
35,037,35037,500,1023,0.028929562545689125
35,037,35037,500,1025,0.08336676911200457
35,037,35037,500,1024,0.07972378988892613
35,037,35037,501,1024,0.0003089994748005533
35,037,35037,501,1025,0.025954290565921467
